ID,Name,Price,Description
1,Shampoo,15.0,Moisturizing shampoo for all hair types
2,Conditioner,12.5,Repairing conditioner with natural ingredients
3,Skin Moisturizer,20.0,Hydrating lotion for smooth and soft skin
4,Facial Cleanser,18.5,Gentle cleanser for daily facial care
5,Sunscreen,25.0,Broad-spectrum SPF 50 sunscreen for sun protection
6,Body Scrub,22.99,Exfoliating body scrub for radiant skin
7,Nail Polish Set,30.0,Set of trendy nail polish colors
8,Hair Styling Gel,14.99,Strong-hold styling gel for versatile hairstyles
9,Perfume,45.0,Signature fragrance for a lasting scent
10,Makeup Palette,39.99,Palette with a variety of eyeshadows and blushes
